device_name_in_vd,ip,day,batch,type,softwareVersion,ping-status,sync-status
AUTO-CPE26,20.20.16.26,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
AUTO-CPE27,20.20.16.27,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-12,20.20.16.12,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-14,20.20.16.14,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-15,20.20.15.15,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-16,20.20.15.16,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-19,20.20.16.19,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-24,20.20.16.24,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-25,20.20.16.25,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-29,20.20.16.29,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-39,20.20.16.39,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-4,20.20.15.4,1,2,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-43,20.20.16.43,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-46,20.20.16.46,1,2,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-5,20.20.15.5,1,2,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-51,20.20.16.51,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-52,20.20.16.52,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-54,20.20.16.54,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-7,20.20.15.7,1,2,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-8-Manish,20.20.15.108,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE38,20.20.16.38,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
DL-20-CPE-1,20.20.20.9,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
DL-20-MUM-CPE-2,20.20.20.11,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
DL-20-WC1,10.83.47.50,1,3,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW01-N2-BLR,10.63.36.35,1,3,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW01-N4-MUM,10.83.43.36,1,3,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW01-N5-LON,10.83.46.59,1,3,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-FW01-UCPE,10.91.240.195,1,3,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-FW02-N2-BLR,10.63.36.37,1,3,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW02-N4-MUM,10.83.43.37,1,3,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW02-N5-LON,10.83.46.58,1,3,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW01-N4-MUM,10.83.43.60,1,3,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW01-N5-LON,10.83.46.61,1,4,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW01-UCPE,10.91.240.197,1,4,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW02-N2-BLR,10.63.4.37,1,4,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-GW02-N4-MUM,10.83.43.59,1,4,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-WC01-N4-MUM,10.83.43.34,1,4,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-WC01-N5-LON,10.83.46.57,1,4,controller,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-WC02-N4-MUM,10.83.43.35,1,4,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-WC02-N5-LON,10.83.46.56,1,4,controller,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
SAMPLE-CONTROLLER,10.83.47.51,1,4,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
